TypeDoc	TypeJP	Depart	DateRetour	Chalut	Casier	Nasse	Pots	tremail tremail	Turlutte	qseqdebut	qseqfin	Date Jour	NPage	Esp1	Esp2	Esp3	Esp4	Esp5	Esp6	Esp7	Esp8	Esp9	Esp10	Esp11	Esp12	Esp13	Esp14	Esp15	Esp16	PREFIXE
V	V	V	V	V	V	V	V	V	V	V	V	14/10/2016	PE2955	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	330.0	PE
V	V	V	V	V	V	V	V	V	V	V	V	15/10/2016	PE2955	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	800.0	PE
V	V	V	V	V	V	V	V	V	V	V	V	16/10/2016	PE2955	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1300.0	PE
V	V	V	V	V	V	V	V	V	V	V	V	17/10/2016	PE2955	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	500.0	PE
Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin
MARREE	HAUTIRIERE	24/09/2016	17/10/2016	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	PE2901	PE2905	24/09/2016	PE2901	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3950.0	PE
V	V	V	V	V	V	V	V	V	V	V	V	25/09/2016	PE2901	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2910.0	PE
V	V	V	V	V	V	V	V	V	V	V	V	26/09/2016	PE2901	0.0	440.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2930.0	PE
V	V	V	V	V	V	V	V	V	V	V	V	27/09/2016	PE2901	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	PE
V	V	V	V	V	V	V	V	V	V	V	V	28/09/2016	PE2901	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	PE
V	V	V	V	V	V	V	V	V	V	V	V	29/09/2016	PE2902	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	PE
V	V	V	V	V	V	V	V	V	V	V	V	30/09/2016	PE2902	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	PE
V	V	V	V	V	V	V	V	V	V	V	V	01/10/2016	PE2902	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6415.0	PE
V	V	V	V	V	V	V	V	V	V	V	V	02/10/2016	PE2902	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1325.0	PE
V	V	V	V	V	V	V	V	V	V	V	V	03/10/2016	PE2902	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4895.0	PE
V	V	V	V	V	V	V	V	V	V	V	V	04/10/2016	PE2903	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2235.0	PE
V	V	V	V	V	V	V	V	V	V	V	V	05/10/2016	PE2903	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6800.0	PE
